标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
九棵树城铁边 品质社区 南北双通透大三居 满五年,瑞都国际南区 -九棵树(家乐福),3室2厅 | 143.37平米 | 南 北 | 简装 | 高楼层(共11层) | 2005年建 | 板塔结合,3室2厅 , 143.37平米 , 南 北 , 简装 , 高楼层(共11层) , 2005年建 , 板塔结合,10人关注 / 13天以前发布,698,"48,686元/平"
当代城市家园  小区中间位置  看房方便,当代城市家园 -上地,3室2厅 | 122.11平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,3室2厅 , 122.11平米 , 南 北 , 精装 , 低楼层(共6层) , 2002年建 , 板楼,5人关注 / 13天以前发布,1220,"99,910元/平"
万年花城二期 南北三居室 小区中间位置,万年花城二期 -玉泉营,3室1厅 | 134.81平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,3室1厅 , 134.81平米 , 南 北 , 毛坯 , 低楼层(共9层)  ,不详, 板楼,6人关注 / 14天以前发布,998,"74,031元/平"
满五年唯一 产权清晰 南北通透 视野好无遮挡,世贸国际公寓 -东大桥,3室2厅 | 258.01平米 | 南 北 | 精装 | 中楼层(共31层) | 2001年建 | 板楼,3室2厅 , 258.01平米 , 南 北 , 精装 , 中楼层(共31层) , 2001年建 , 板楼,4人关注 / 11天以前发布,2360,"91,470元/平"
永定路  永定路甲19号院  单位分房 带电梯 精装修,永定路甲19号院 -五棵松,3室2厅 | 110.69平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,3室2厅 , 110.69平米 , 南 北 , 精装 , 中楼层(共10层)  ,不详, 板楼,12人关注 / 9天以前发布,1100,"99,377元/平"
少有平层三居 有电梯 低楼层 全明格局,航天城小区 -海淀北部新区,3室2厅 | 147.15平米 | 南 北 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,3室2厅 , 147.15平米 , 南 北 , 简装 , 低楼层(共6层) , 2003年建 , 板楼,5人关注 / 8天以前发布,1380,"93,782元/平"
2015年交房 经典4+1户型  观景房,保利中央公园 -望京,4室2厅 | 144.92平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,4室2厅 , 144.92平米 , 南 北 , 精装 , 中楼层(共25层)  ,不详, 板楼,5人关注 / 10天以前发布,2190,"151,118元/平"
宣颐家园，园林社区，复式设计，无遮挡。,宣颐家园 -旧宫,3室1厅 | 60.23平米 | 西 | 简装 | 中楼层(共5层)  | 塔楼,3室1厅 , 60.23平米 , 西 , 简装 , 中楼层(共5层)  ,不详, 塔楼,3人关注 / 8天以前发布,298,"49,478元/平"
百旺家苑精装三居中间层诚意出售,百旺家苑 -马连洼,3室2厅 | 139.86平米 | 南 北 | 精装 | 中楼层(共4层) | 2003年建 | 板楼,3室2厅 , 139.86平米 , 南 北 , 精装 , 中楼层(共4层) , 2003年建 , 板楼,1人关注 / 6天以前发布,1288,"92,093元/平"
天际高楼层，双通透，全明格局，交通便利，诚意出售,万象新天天际高尔夫 -常营,3室2厅 | 173.73平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,3室2厅 , 173.73平米 , 南 北 , 精装 , 高楼层(共19层)  ,不详, 板楼,6人关注 / 3天以前发布,1050,"60,439元/平"
新华联南北通透 电梯三居 不临街 中高楼层 诚意卖,新华联家园南区 -果园,3室1厅 | 137.96平米 | 南 北 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,3室1厅 , 137.96平米 , 南 北 , 简装 , 中楼层(共11层) , 2002年建 , 板楼,1人关注 / 7天以前发布,638,"46,246元/平"
满五唯一，近地铁，东南大两居室。,松榆东里 -北工大,3室1厅 | 63.31平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,3室1厅 , 63.31平米 , 东南 , 简装 , 高楼层(共6层)  ,不详, 板楼,7人关注 / 7天以前发布,398,"62,866元/平"
东城区 天坛东门 满五年单位分房 诚意出售 全明格局,体育馆路13号 -崇文门,3室1厅 | 101.38平米 | 南 北 | 简装 | 高楼层(共6层) | 1950年建 | 板楼,3室1厅 , 101.38平米 , 南 北 , 简装 , 高楼层(共6层) , 1950年建 , 板楼,6人关注 / 3天以前发布,1099,"108,405元/平"
金色漫香林五期 2室2厅 南 北,金色漫香林五期 -亦庄,2室2厅 | 90.74平米 | 南 北 | 其他 | 中楼层(共7层) | 2011年建 | 板楼,2室2厅 , 90.74平米 , 南 北 , 其他 , 中楼层(共7层) , 2011年建 , 板楼,1人关注 / 2天以前发布,538,"59,291元/平"
龙邸，大平层，电梯入户，一梯一户，落地窗，采光好,龙邸 -回龙观,4室2厅 | 180.92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4室2厅 , 180.92平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,4人关注 / 6天以前发布,1150,"63,565元/平"
枫丹壹号二期 南北通透 3+1户型 中高层 视野好无遮挡,枫丹壹号二期 -亦庄开发区其它,4室2厅 | 112.1平米 | 南 北 | 精装 | 中楼层(共27层) | 2014年建 | 板楼,4室2厅 , 112.1平米 , 南 北 , 精装 , 中楼层(共27层) , 2014年建 , 板楼,6人关注 / 7天以前发布,816,"72,793元/平"
天通苑东三区法式园 板楼三居室,天通苑东三区 -天通苑,3室1厅 | 129.42平米 | 南 北 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,3室1厅 , 129.42平米 , 南 北 , 精装 , 中楼层(共7层) , 2002年建 , 板楼,5人关注 / 7天以前发布,520,"40,180元/平"
商品房 视野开阔 主卧次卧带飘窗,天通苑东一区 -天通苑,3室1厅 | 140.69平米 | 西南 | 精装 | 19层 | 2001年建 | 塔楼,3室1厅 , 140.69平米 , 西南 , 精装 , 19层 , 2001年建 , 塔楼,1人关注 / 4天以前发布,529,"37,601元/平"
商品房满五年唯一，二层三朝南眼镜房户型格局好,天通苑东一区 -天通苑,4室1厅 | 160.12平米 | 南 北 | 简装 | 7层 | 2001年建 | 板楼,4室1厅 , 160.12平米 , 南 北 , 简装 , 7层 , 2001年建 , 板楼,2人关注 / 6天以前发布,599,"37,410元/平"
塔板结合低密度电梯房，南向精装带双卫，居住便利舒适,望京新城 -望京,3室1厅 | 124.88平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,3室1厅 , 124.88平米 , 南 , 精装 , 中楼层(共20层)  ,不详, 塔楼,5人关注 / 6天以前发布,880,"70,468元/平"
上地 南北大三居 满五年 唯一 位置好 中楼层,上地南路6号院 -上地,3室1厅 | 130.9平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,3室1厅 , 130.9平米 , 南 北 , 精装 , 中楼层(共6层) , 1998年建 , 板楼,8人关注 / 4天以前发布,1160,"88,618元/平"
天通苑北二区满五唯一，南北通三居 楼层好 采光充足,天通苑北二区 -天通苑,3室2厅 | 135.96平米 | 南 北 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,3室2厅 , 135.96平米 , 南 北 , 精装 , 高楼层(共18层) , 2005年建 , 板楼,0人关注 / 5天以前发布,580,"42,660元/平"
西辛南区 3室1厅 南 北,西辛南区 -顺义城,3室1厅 | 134.86平米 | 南 北 | 简装 | 18层 | 2004年建 | 板塔结合,3室1厅 , 134.86平米 , 南 北 , 简装 , 18层 , 2004年建 , 板塔结合,0人关注 / 2天以前发布,400,"29,661元/平"
精装修下叠拼 业主诚意出售 看房方便,西山美墅馆C区 -西山,4室3厅 | 206.61平米 | 南 北 | 精装 | 底层(共4层)  | 板楼,4室3厅 , 206.61平米 , 南 北 , 精装 , 底层(共4层)  ,不详, 板楼,7人关注 / 7天以前发布,2400,"116,161元/平"
已购房诚意出售，产权清晰，无抵押，采光好无遮挡,国瑞城中区 -崇文门,3室1厅 | 69.69平米 | 东 东南 | 简装 | 中楼层(共16层) | 2006年建 | 塔楼,3室1厅 , 69.69平米 , 东 东南 , 简装 , 中楼层(共16层) , 2006年建 , 塔楼,9人关注 / 6天以前发布,770,"110,490元/平"
店长推荐，四居眼镜房，满五唯一，明厨明卫,天通苑东二区 -天通苑,4室1厅 | 158.16平米 | 南 北 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,4室1厅 , 158.16平米 , 南 北 , 简装 , 低楼层(共7层) , 2001年建 , 板楼,2人关注 / 5天以前发布,618,"39,075元/平"
三期 南北通透四居室  大平层 满五年唯一 没抵押,柏林爱乐三期 -常营,4室1厅 | 154.07平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,4室1厅 , 154.07平米 , 南 北 , 精装 , 低楼层(共8层)  ,不详, 板楼,3人关注 / 7天以前发布,950,"61,661元/平"
绿岛苑西区双卧朝南 满五年唯一 高楼层 采光好,绿岛苑西区 -定福庄,2室1厅 | 75.74平米 | 南 | 简装 | 高楼层(共24层) | 1999年建 | 塔楼,2室1厅 , 75.74平米 , 南 , 简装 , 高楼层(共24层) , 1999年建 , 塔楼,21人关注 / 9天以前发布,353,"46,607元/平"
天之骄子北排南北通透三居，双线通透，明厨明卫,天之骄子 -双井,3室2厅 | 140.56平米 | 南 北 | 精装 | 中楼层(共7层) | 2006年建 | 板楼,3室2厅 , 140.56平米 , 南 北 , 精装 , 中楼层(共7层) , 2006年建 , 板楼,8人关注 / 8天以前发布,1320,"93,911元/平"
华龙美晟09年商品房社区大两居落地窗无遮挡,华龙美晟 -永定门,2室2厅 | 91.44平米 | 西北 | 精装 | 高楼层(共12层) | 2009年建 | 板塔结合,2室2厅 , 91.44平米 , 西北 , 精装 , 高楼层(共12层) , 2009年建 , 板塔结合,3人关注 / 8天以前发布,850,"92,958元/平"
荟康苑 南北两居室  卧室阳台,荟康苑 -常营,2室1厅 | 71.96平米 | 北 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,2室1厅 , 71.96平米 , 北 南 , 简装 , 中楼层(共7层) , 1996年建 , 板楼,9人关注 / 7天以前发布,335,"46,554元/平"
通景园 电梯两居 满五唯一 户型方正 全明两居,通景园 -九棵树(家乐福),2室2厅 | 88.58平米 | 东南 | 简装 | 低楼层(共27层)  | 板塔结合,2室2厅 , 88.58平米 , 东南 , 简装 , 低楼层(共27层)  ,不详, 板塔结合,4人关注 / 7天以前发布,355,"40,077元/平"
本家润园 正规1居室 房本满5年 随时可看,本家润园C区 -东花市,1室1厅 | 53.24平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,1室1厅 , 53.24平米 , 东 , 精装 , 中楼层(共18层)  ,不详, 板塔结合,1人关注 / 9天以前发布,595,"111,759元/平"
枣营北里 92年电梯楼 高楼层视野开阔 可看朝阳公园,枣营北里 -农展馆,2室1厅 | 50.76平米 | 东 | 简装 | 高楼层(共18层) | 1989年建 | 塔楼,2室1厅 , 50.76平米 , 东 , 简装 , 高楼层(共18层) , 1989年建 , 塔楼,2人关注 / 7天以前发布,418,"82,349元/平"
中关村南北通透 中间楼层 满五年单位分房,中关村 -中关村,2室1厅 | 60.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 60.16平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,4人关注 / 7天以前发布,850,"141,290元/平"
椿树园南北通透两居 满五年唯一,椿树园 -宣武门,2室1厅 | 58.28平米 | 东 南 北 | 简装 | 地下室(共11层)  | 板楼,2室1厅 , 58.28平米 , 东 南 北 , 简装 , 地下室(共11层)  ,不详, 板楼,1人关注 / 5天以前发布,588,"100,893元/平"
安翔里 西区 三居室前后无遮挡 不临街，采光好,安翔里小区 -健翔桥,3室1厅 | 81.86平米 | 南 北 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,3室1厅 , 81.86平米 , 南 北 , 简装 , 中楼层(共6层) , 1990年建 , 板楼,4人关注 / 7天以前发布,680,"83,069元/平"
南厂北区 2室1厅 南,南厂北区 -南口,2室1厅 | 51.6平米 | 南 | 简装 | 顶层(共6层) | 1980年建 | 板楼,2室1厅 , 51.6平米 , 南 , 简装 , 顶层(共6层) , 1980年建 , 板楼,3人关注 / 6天以前发布,108,"20,931元/平"
"蒲黄榆五巷,南北通透两居室，满五年唯一，产权清晰",蒲黄榆五巷 -蒲黄榆,2室1厅 | 61.23平米 | 南 北 | 简装 | 顶层(共6层)  | 板楼,2室1厅 , 61.23平米 , 南 北 , 简装 , 顶层(共6层)  ,不详, 板楼,6人关注 / 3天以前发布,320,"52,262元/平"
西四环中路 五棵松南 东南向 无遮挡 楼龄新,西翠芳庭 -青塔,2室1厅 | 88.64平米 | 东南 | 简装 | 中楼层(共22层) | 2003年建 | 塔楼,2室1厅 , 88.64平米 , 东南 , 简装 , 中楼层(共22层) , 2003年建 , 塔楼,3人关注 / 7天以前发布,550,"62,049元/平"
南北通透 楼前没有遮挡 采光好 小区环境好,洪茂沟社区 -月坛,2室1厅 | 49.5平米 | 南 西 北 | 简装 | 中楼层(共4层) | 1959年建 | 板楼,2室1厅 , 49.5平米 , 南 西 北 , 简装 , 中楼层(共4层) , 1959年建 , 板楼,12人关注 / 7天以前发布,720,"145,455元/平"
澳林春天二期   正规两居室  集中供暖,澳林春天二期 -奥林匹克公园,2室2厅 | 104.48平米 | 西南 | 简装 | 高楼层(共24层) | 2002年建 | 塔楼,2室2厅 , 104.48平米 , 西南 , 简装 , 高楼层(共24层) , 2002年建 , 塔楼,2人关注 / 8天以前发布,775,"74,177元/平"
保利春天里远离高速精致装修拎包入住视野无遮挡近地铁,保利春天里 -天宫院,2室1厅 | 85.58平米 | 南 | 精装 | 低楼层(共25层) | 2014年建 | 板楼,2室1厅 , 85.58平米 , 南 , 精装 , 低楼层(共25层) , 2014年建 , 板楼,1人关注 / 6天以前发布,354,"41,365元/平"
河畔满五年家庭一套 业主急售 有钥匙 主卧客厅朝南,河畔丽景 -武夷花园,2室2厅 | 92.31平米 | 南 北 | 精装 | 底层(共12层) | 2003年建 | 板楼,2室2厅 , 92.31平米 , 南 北 , 精装 , 底层(共12层) , 2003年建 , 板楼,3人关注 / 8天以前发布,449,"48,641元/平"
三环内 满五年唯一 精装 南北通透 厨房卫生间带窗户,马家堡路29号院 -洋桥,3室1厅 | 66平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,3室1厅 , 66平米 , 南 北 , 精装 , 高楼层(共6层) , 1989年建 , 板楼,9人关注 / 7天以前发布,363,"55,000元/平"
双龙南里 满五年房改房 中间层 电梯房 无遮挡 不临街,双龙南里 -华威桥,2室1厅 | 73.07平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,2室1厅 , 73.07平米 , 南 , 精装 , 中楼层(共12层)  ,不详, 板塔结合,11人关注 / 8天以前发布,352,"48,173元/平"
2003年的小区，出西门就是宋家庄地铁口,政馨园三区 -宋家庄,1室1厅 | 63.68平米 | 北 | 简装 | 底层(共22层) | 2003年建 | 塔楼,1室1厅 , 63.68平米 , 北 , 简装 , 底层(共22层) , 2003年建 , 塔楼,0人关注 / 7天以前发布,299,"46,954元/平"
知春路罗庄西里南北通透中间层满五年,罗庄西里 -知春路,2室1厅 | 57.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 57.6平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,5人关注 / 3天以前发布,645,"111,980元/平"
石佛营明厅两居室，东西南三面采光，无遮挡，1993年,十里堡北区 -石佛营,2室1厅 | 65.8平米 | 东南 西 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,2室1厅 , 65.8平米 , 东南 西 , 简装 , 中楼层(共6层) , 1993年建 , 板楼,5人关注 / 5天以前发布,375,"56,991元/平"
上庄优质两居室 全朝阳 无遮挡 采光好 中间楼层,上庄家园西区 -海淀北部新区,2室1厅 | 55.2平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,2室1厅 , 55.2平米 , 南 , 简装 , 中楼层(共4层)  ,不详, 板楼,8人关注 / 6天以前发布,335,"60,689元/平"
魏公村8号院 正对北理工南门 东南两室大客厅 精装修,魏公村8号院 -魏公村,2室1厅 | 85.64平米 | 东南 | 精装 | 16层  | 塔楼,2室1厅 , 85.64平米 , 东南 , 精装 , 16层  ,不详, 塔楼,3人关注 / 4天以前发布,945,"110,346元/平"
首创新悦都二区 中间楼层 满五唯一,首创新悦都二区 -长阳,2室1厅 | 75.56平米 | 南 北 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,2室1厅 , 75.56平米 , 南 北 , 精装 , 中楼层(共18层) , 2014年建 , 板楼,2人关注 / 3天以前发布,313,"41,425元/平"
碧桂园小区C区 有电梯 南北一居室 观景房 临近公园,碧桂园小区C区 -长阳,2室1厅 | 68.38平米 | 南 北 | 精装 | 中楼层(共16层) | 2007年建 | 板塔结合,2室1厅 , 68.38平米 , 南 北 , 精装 , 中楼层(共16层) , 2007年建 , 板塔结合,11人关注 / 6天以前发布,208,"30,419元/平"
瑞雪春堂南向两居室，高楼层，采光好，满五唯一。,瑞雪春堂 -良乡,2室1厅 | 90.23平米 | 南 | 精装 | 高楼层(共15层) | 2010年建 | 板塔结合,2室1厅 , 90.23平米 , 南 , 精装 , 高楼层(共15层) , 2010年建 , 板塔结合,1人关注 / 2天以前发布,275,"30,478元/平"
上奥电梯南北通透大两居户型很少见，店长推荐诚心出售,上奥世纪中心 -西三旗,2室1厅 | 126.67平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,2室1厅 , 126.67平米 , 南 北 , 精装 , 中楼层(共20层)  ,不详, 板塔结合,0人关注 / 7天以前发布,540,"42,631元/平"
新城乐居 可观影城 高楼层无遮挡 三阳开泰户型,新城乐居 -临河里,2室1厅 | 78.71平米 | 南 | 简装 | 28层  | 板楼,2室1厅 , 78.71平米 , 南 , 简装 , 28层  ,不详, 板楼,1人关注 / 2天以前发布,315,"40,021元/平"
满五唯一  小区装修天花板 随时可看,金星小区 -定福庄,2室1厅 | 88.99平米 | 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,2室1厅 , 88.99平米 , 北 , 精装 , 高楼层(共6层) , 1993年建 , 板楼,4人关注 / 5天以前发布,398,"44,725元/平"
柏林爱乐正对小区花园满五年唯一随时看房随时签约,柏林爱乐一期 -常营,1室1厅 | 67平米 | 西 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,1室1厅 , 67平米 , 西 , 精装 , 中楼层(共11层) , 2002年建 , 板楼,8人关注 / 2天以前发布,398,"59,403元/平"
源泉苑满五唯一低楼层一居，不临街不把边,源泉苑 -玉桥,1室1厅 | 59.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1室1厅 , 59.02平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 4天以前发布,238,"40,326元/平"
