标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
卖相很好的二楼，近地铁出行方便看房方便诚意出售！！,紫瑞园 -瑞景居住区,2室1厅 | 85.41平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2室1厅 , 85.41平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 7天以前发布,133,"15,572元/平"
无遮挡采光好，无抵押无纠纷私产房,林苑北里 -王顶堤,2室1厅 | 58.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 58.91平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 7天以前发布,148,"25,124元/平"
店长推荐 绿城物业 楼king位置 东户视野开阔  有车位,绿城·诚园 -陈塘庄,3室2厅 | 130平米 | 东 南 北 | 毛坯 | 15层  | 板塔结合,3室2厅 , 130平米 , 东 南 北 , 毛坯 , 15层  ,不详, 板塔结合,2人关注 / 21天以前发布,546,"42,000元/平"
"满五唯一,采光无遮挡，双地铁，水上旁，次顶",科海里 -水上公园街,3室1厅 | 117.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3室1厅 , 117.01平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,4人关注 / 22天以前发布,295,"25,212元/平"
此房满五唯一无抵押 ，采光充足，视野开阔,宝鑫景苑 -北城路,2室2厅 | 94.68平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2室2厅 , 94.68平米 , 南 北 , 精装 , 中楼层(共7层)  ,不详, 板楼,1人关注 / 14天以前发布,58,"6,126元/平"
万科水晶城有很大的露台不算面积，而且停车不收费,万科水晶城凭澜园 -梅江,3室2厅 | 140.25平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,3室2厅 , 140.25平米 , 南 北 , 精装 , 低楼层(共11层)  ,不详, 板楼,19人关注 / 16天以前发布,445,"31,730元/平"
南站新房过两年业主诚意出售看房随时！,融侨方圆 -张家窝,3室1厅 | 89.26平米 | 南 北 | 毛坯 | 11层  | 板楼,3室1厅 , 89.26平米 , 南 北 , 毛坯 , 11层  ,不详, 板楼,1人关注 / 7天以前发布,144,"16,133元/平"
海建里、小3室、单号、南北向、私产可贷款,海建里 -友谊路,3室1厅 | 75.29平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3室1厅 , 75.29平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 14天以前发布,288,"38,253元/平"
带落地窗，精装修，中间楼层，一号线李楼，采光充足,金地格林世界棕榈苑D区 -双港,2室1厅 | 90.73平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,2室1厅 , 90.73平米 , 南 , 精装 , 中楼层(共30层)  ,不详, 板楼,0人关注 / 6天以前发布,127,"13,998元/平"
鼓楼视野开阔，低楼层南北通透，园林风格，权属清晰,富力城天霖园 -鼓楼街,2室1厅 | 120.77平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,2室1厅 , 120.77平米 , 南 北 , 精装 , 低楼层(共24层)  ,不详, 板楼,0人关注 / 10天以前发布,573,"47,446元/平"
此房南北通透，采光好，视野宽阔，配套设施齐全,贻静园 -向阳街,2室1厅 | 95.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室1厅 , 95.13平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,2人关注 / 13天以前发布,105,"11,038元/平"
万科物业 户型方正满五唯一 精装业主诚售 价格可议,仕林苑 -双港,2室1厅 | 80.43平米 | 东北 | 精装 | 高楼层(共28层)  | 板塔结合,2室1厅 , 80.43平米 , 东北 , 精装 , 高楼层(共28层)  ,不详, 板塔结合,0人关注 / 9天以前发布,147,"18,277元/平"
小砖楼，私产，精装两室，二楼，采光充足小砖楼,玉盛里 -下瓦房,2室1厅 | 55.09平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 55.09平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 6天以前发布,226,"41,024元/平"
业主诚心卖房，小区偏单非顶楼，价格可议,振兴南里 -张贵庄,2室1厅 | 61.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室1厅 , 61.83平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 7天以前发布,85,"13,748元/平"
融创五期  房龄新   三室有装  业主诚意售,融创中央学府东区 -咸水沽,3室1厅 | 102.21平米 | 东南 | 简装 | 低楼层(共28层)  | 板楼,3室1厅 , 102.21平米 , 东南 , 简装 , 低楼层(共28层)  ,不详, 板楼,0人关注 / 9天以前发布,154,"15,068元/平"
金梧桐  户型方正 通透格局  房龄新 视野好,中交金梧桐公馆 -南关大街,3室2厅 | 132平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,3室2厅 , 132平米 , 南 , 简装 , 中楼层(共11层)  ,不详, 板楼,0人关注 / 12天以前发布,134,"10,152元/平"
全新装修一楼带院 中间位置 采光充足 急售中,首创城 -辛庄,3室1厅 | 100.81平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3室1厅 , 100.81平米 , 南 北 , 精装 , 低楼层(共7层)  ,不详, 板楼,2人关注 / 15天以前发布,195,"19,344元/平"
季景华庭［季景园］ 2室2厅 南,季景华庭［季景园］ -中新生态城,2室2厅 | 85.67平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,2室2厅 , 85.67平米 , 南 , 简装 , 高楼层(共16层)  ,不详, 板楼,0人关注 / 6天以前发布,113,"13,191元/平"
诺德名苑 三室户型 婚房装修 带车位 业主诚心出售,中铁·诺德名苑 -工农村,3室2厅 | 118.06平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,3室2厅 , 118.06平米 , 南 北 , 精装 , 高楼层(共31层)  ,不详, 板楼,0人关注 / 5天以前发布,178,"15,078元/平"
新登记中间楼层，旁边地铁，采光视野好看房联系包文成,春晓花园 -万兴街,2室2厅 | 115.54平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2室2厅 , 115.54平米 , 南 北 , 精装 , 中楼层(共28层)  ,不详, 板楼,1人关注 / 5天以前发布,342,"29,601元/平"
盛庭豪景，中间楼层，满五唯一，采光好，精装修,盛庭豪景 -北仓镇,2室1厅 | 83.47平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,2室1厅 , 83.47平米 , 南 , 精装 , 中楼层(共23层)  ,不详, 板楼,0人关注 / 20天以前发布,137,"16,414元/平"
红桥区 低楼层  运河北岸 私产 满五年,前园村 -邵公庄,2室1厅 | 71.15平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2室1厅 , 71.15平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,1人关注 / 24天以前发布,115,"16,164元/平"
H户型，楼龄新，私产无抵押，业主诚心出售,金宇里 -王顶堤,2室1厅 | 71.91平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 71.91平米 , 北 南 , 简装 , 高楼层(共6层)  ,不详, 板楼,5人关注 / 17天以前发布,145,"20,165元/平"
惠君园两室  私产可贷款  随时可以看房  有钥匙,惠君园 -双港,2室2厅 | 101.62平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室2厅 , 101.62平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 18天以前发布,188,"18,501元/平"
泰丰家园 通透四室 带电梯 精装修 拎包入住 采光充足,泰丰家园 -第五大街,4室2厅 | 146.29平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,4室2厅 , 146.29平米 , 南 北 , 精装 , 高楼层(共10层)  ,不详, 板楼,2人关注 / 23天以前发布,195,"13,330元/平"
此房满五不唯一，采光充足，双阳错层，南北通风好,怡林园 -东海街,2室2厅 | 90.73平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室2厅 , 90.73平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 29天以前发布,278,"30,641元/平"
天津富力新城别有地下室 有阁楼 而且有装修,天津富力新城 -团泊东,4室1厅 | 165.46平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,4室1厅 , 165.46平米 , 南 北 , 精装 , 3层  , 板楼 , 联排别墅 ,3人关注 / 21天以前发布,239,"14,445元/平"
精装修 可拎包入住，楼位好，绿化高,华润中央公园 -双港,3室1厅 | 96.91平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,3室1厅 , 96.91平米 , 南 北 , 精装 , 中楼层(共32层)  ,不详, 板楼,3人关注 / 23天以前发布,145,"14,963元/平"
开发商统一精装修 未入住  业主诚意卖房,中海·城市广场·钻石湾 -大王庄,3室2厅 | 140.01平米 | 南 | 精装 | 53层  | 板塔结合,3室2厅 , 140.01平米 , 南 , 精装 , 53层  ,不详, 板塔结合,2人关注 / 17天以前发布,560,"39,998元/平"
精装两室  中间楼层，采光充足，视野好，诚意出售，,意境兰庭 -空港经济区,2室1厅 | 86.2平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2室1厅 , 86.2平米 , 南 , 精装 , 低楼层(共18层)  ,不详, 塔楼,0人关注 / 17天以前发布,170,"19,722元/平"
福盛花园商品房 满五唯一 带电梯 中间楼层采光无挡,福盛花园 -下瓦房,3室2厅 | 133.03平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,3室2厅 , 133.03平米 , 南 北 , 简装 , 中楼层(共11层)  ,不详, 板楼,6人关注 / 29天以前发布,539,"40,518元/平"
精装  低楼层   地采暖   无遮挡 业主诚意出售,雅云里 -长虹街,2室1厅 | 76.22平米 | 南 北 | 精装 | 低楼层(共7层)  | 塔楼,2室1厅 , 76.22平米 , 南 北 , 精装 , 低楼层(共7层)  ,不详, 塔楼,7人关注 / 29天以前发布,232,"30,439元/平"
天山里两室，私产过五年，地铁一号线 成熟小区,天山里 -柳林街,2室1厅 | 56.67平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2室1厅 , 56.67平米 , 南 北 , 简装 , 高楼层(共5层)  ,不详, 板楼,3人关注 / 27天以前发布,110,"19,411元/平"
大型低密度社区，通透大三居，三室两卫，双卧朝南,北岸尚城 -体育中心,3室2厅 | 146.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3室2厅 , 146.3平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 17天以前发布,160,"10,937元/平"
全明户型，采光视野好，业主诚意出售。,荣悦园 -北仓镇,2室1厅 | 84.34平米 | 南 西 北 | 简装 | 中楼层(共26层)  | 板楼,2室1厅 , 84.34平米 , 南 西 北 , 简装 , 中楼层(共26层)  ,不详, 板楼,2人关注 / 20天以前发布,76,"9,012元/平"
"好楼层，采光好，不临街经角，急售采光好,精装修",梅江康城 -大寺,2室1厅 | 92.75平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,2室1厅 , 92.75平米 , 南 北 , 其他 , 中楼层(共24层)  ,不详, 板楼,1人关注 / 6天以前发布,155,"16,712元/平"
好楼层观水上全景，房型方正，70年大产权.私产过五年,水榭花园 -水上公园街,2室1厅 | 149.31平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2室1厅 , 149.31平米 , 南 , 精装 , 高楼层(共22层)  ,不详, 板楼,1人关注 / 13天以前发布,378,"25,317元/平"
满两年，精装两室，中间楼层，拎包入住，看房方便,金地艺华年 -双港,2室1厅 | 82.25平米 | 南 | 精装 | 25层  | 板楼,2室1厅 , 82.25平米 , 南 , 精装 , 25层  ,不详, 板楼,0人关注 / 8天以前发布,130,"15,806元/平"
融创融园 满五唯一 通透114jin角全明 非顶楼采光好,融创融园 -万新街,3室2厅 | 113.28平米 | 南 北 | 简装 | 21层  | 板塔结合,3室2厅 , 113.28平米 , 南 北 , 简装 , 21层  ,不详, 板塔结合,0人关注 / 14天以前发布,242,"21,363元/平"
河东区 次新小区 皓林园  近地铁  诚意卖,路劲太阳城皓林园 -太阳城,3室1厅 | 136.06平米 | 南 北 | 毛坯 | 30层  | 板楼,3室1厅 , 136.06平米 , 南 北 , 毛坯 , 30层  ,不详, 板楼,3人关注 / 8天以前发布,308,"22,638元/平"
海河故道 地铁1号线 天津大道 东沽路,富力又一城合力园 -咸水沽,3室1厅 | 89.24平米 | 南 北 | 精装 | 33层  | 板塔结合,3室1厅 , 89.24平米 , 南 北 , 精装 , 33层  ,不详, 板塔结合,0人关注 / 14天以前发布,124,"13,896元/平"
低楼层两室  价钱合适 业主人很好诚意出售,御河湾新苑 -三条石,2室1厅 | 68.67平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2室1厅 , 68.67平米 , 南 , 简装 , 低楼层(共7层)  ,不详, 板楼,1人关注 / 5天以前发布,140,"20,388元/平"
奥城八期。房子户型方正。视野好采光好。豪气十足,时代奥城 -体育中心街,3室2厅 | 271.03平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,3室2厅 , 271.03平米 , 南 北 , 毛坯 , 中楼层(共24层)  ,不详, 板楼,2人关注 / 12天以前发布,786,"29,001元/平"
通透全明 户型格局方正 央企开发，有阁楼,中交樾公馆 -张家窝,3室2厅 | 124.8平米 | 南 北 | 精装 | 11层  | 板楼,3室2厅 , 124.8平米 , 南 北 , 精装 , 11层  ,不详, 板楼,1人关注 / 14天以前发布,218,"17,468元/平"
老证 空户 无尾款，南北通透，格局好，好楼层,盛世华府鸿园 -新湾,3室2厅 | 138.98平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,3室2厅 , 138.98平米 , 南 北 , 毛坯 , 中楼层(共17层)  ,不详, 板塔结合,0人关注 / 5天以前发布,227,"16,334元/平"
东丽区 万科民和巷 精装通透三居室 带阳台 看房随时,万科民和巷 -新立街,3室1厅 | 101.54平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,3室1厅 , 101.54平米 , 南 北 , 精装 , 中楼层(共14层)  ,不详, 板楼,0人关注 / 6天以前发布,188,"18,515元/平"
体北  模范小区  精装修   2室 私产,宾水东里 -天塔街,2室1厅 | 54.25平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2室1厅 , 54.25平米 , 南 , 其他 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 3天以前发布,170,"31,337元/平"
南北通透，迎风里中间位置，楼层低采光好,迎风里 -王顶堤,2室1厅 | 66.96平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2室1厅 , 66.96平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,0人关注 / 12天以前发布,199,"29,720元/平"
双港仁和园小两居   精装修 诚心卖,仁和园(津南区) -双港,2室1厅 | 69.35平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,2室1厅 , 69.35平米 , 南 , 精装 , 中楼层(共21层)  ,不详, 板楼,0人关注 / 6天以前发布,88,"12,690元/平"
南北通透户型，采光好，视野好，环境优美,浩润嘉苑 -马家店,2室1厅 | 106.03平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,2室1厅 , 106.03平米 , 南 北 , 毛坯 , 低楼层(共6层)  ,不详, 板塔结合,1人关注 / 8天以前发布,60,"5,659元/平"
精装修，三层别墅 价格可谈 业主诚意卖,首创溪堤郡颂园 -华明镇,5室3厅 | 202平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,5室3厅 , 202平米 , 南 北 , 精装 , 低楼层(共3层)  ,不详, 板楼,43人关注 / 11个月以前发布,295,"14,604元/平"
店长推荐，装修豪，大平层，空间大，改善优选，采光好,德庆里 -兴南街,3室2厅 | 177.22平米 | 东 西 南 | 精装 | 高楼层(共9层)  | 板楼,3室2厅 , 177.22平米 , 东 西 南 , 精装 , 高楼层(共9层)  ,不详, 板楼,33人关注 / 2个月以前发布,528,"29,794元/平"
海河观景房，配套成熟，精装修，拎包入住,海河金茂府 -大王庄,4室2厅 | 188.57平米 | 南 北 | 精装 | 30层  | 板楼,4室2厅 , 188.57平米 , 南 北 , 精装 , 30层  ,不详, 板楼,4人关注 / 1个月以前发布,1116,"59,183元/平"
不是顶楼+明卫南北大三室+新八大里、有钥匙,北大资源阅城 -陈塘庄,3室2厅 | 136.89平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3室2厅 , 136.89平米 , 南 , 毛坯 , 高楼层(共32层)  ,不详, 板楼,60人关注 / 一年前发布,485,"35,430元/平"
荣雅 精装修 好楼层 随时看房 价格有商量,荣雅园 -北仓镇,2室1厅 | 82.56平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2室1厅 , 82.56平米 , 南 , 精装 , 中楼层(共26层)  ,不详, 塔楼,1人关注 / 5天以前发布,76,"9,206元/平"
阳面户型格局，顶楼带阁楼，带露台采光好，价位可议,祺林园 -东海街,2室1厅 | 136.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 136.97平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 7天以前发布,280,"20,443元/平"
南北通透户型 空房子  房主诚信出售,康馨花园 -第三大街,3室2厅 | 158平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,3室2厅 , 158平米 , 南 北 , 其他 , 中楼层(共11层)  ,不详, 板楼,0人关注 / 7天以前发布,370,"23,418元/平"
汇文名邸 1T2户 南北通透 带车位 业主诚心出售,汇文名邸 -挂甲寺,2室1厅 | 94.06平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,2室1厅 , 94.06平米 , 南 北 , 其他 , 中楼层(共8层)  ,不详, 板楼,0人关注 / 6天以前发布,370,"39,337元/平"
名景花园  私产 可贷款 低楼层 看房方便 带电梯 红桥,名景花园 -西营门,2室1厅 | 83.26平米 | 西南 | 简装 | 低楼层(共18层)  | 塔楼,2室1厅 , 83.26平米 , 西南 , 简装 , 低楼层(共18层)  ,不详, 塔楼,0人关注 / 7天以前发布,123,"14,774元/平"
水景花都  南北通透  采购充足  洋房社区,水景花都 -新河街,2室1厅 | 119.53平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,2室1厅 , 119.53平米 , 南 北 , 简装 , 高楼层(共10层)  ,不详, 板楼,0人关注 / 4天以前发布,167,"13,972元/平"
企业产 中山门业主诚意出售  总价低,和睦西里 -中山门街,1室1厅 | 35平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1室1厅 , 35平米 , 南 北 , 其他 , 高楼层(共7层)  ,不详, 板楼,0人关注 / 15天以前发布,45,"12,858元/平"
小区中排 南北通透H户型 一居价格买两居,远洋新干线 -空港经济区,2室2厅 | 90.82平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,2室2厅 , 90.82平米 , 南 北 , 简装 , 高楼层(共14层)  ,不详, 板楼,9人关注 / 10天以前发布,125,"13,764元/平"
三和中间楼层 户型好 采光好 无遮挡,三和温泉花园天时园 -建昌道,3室1厅 | 102.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3室1厅 , 102.03平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 16天以前发布,178,"17,446元/平"
婚房装修，拎包入住。。。出行购物方便。,万源星城 -双街,2室1厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 90平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,3人关注 / 5天以前发布,110,"12,223元/平"
店长推荐：此房私产过五年，有二套，闽侯路，精装修,久仰里 -下瓦房,1室1厅 | 33.98平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,1室1厅 , 33.98平米 , 东 , 精装 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 12天以前发布,189,"55,621元/平"
房子南北通透户型，没有浪费面积，私产过五年唯一,彩丽园 -太阳城,2室1厅 | 80.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2室1厅 , 80.56平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板塔结合,0人关注 / 14天以前发布,135,"16,758元/平"
东海花园 H户型，低楼层方便出行业主诚心出售,东海花园 -新开河,2室1厅 | 87.24平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2室1厅 , 87.24平米 , 南 , 精装 , 低楼层(共7层)  ,不详, 板楼,3人关注 / 9天以前发布,196,"22,467元/平"
三片四平东道，私产两居室，诚意出售！,营口道(和平区) -劝业场,2室1厅 | 59.98平米 | 东 | 精装 | 8层  | 板楼,2室1厅 , 59.98平米 , 东 , 精装 , 8层  ,不详, 板楼,5人关注 / 10天以前发布,228,"38,013元/平"
东楼 2楼企业产 小区中间无遮挡 3地铁，人民公园对过,西楼北里 -下瓦房,1室1厅 | 28.95平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,1室1厅 , 28.95平米 , 南 , 简装 , 低楼层(共8层)  ,不详, 板塔结合,1人关注 / 10天以前发布,105,"36,270元/平"
私产过两年，精装修，价位有商量，采光好,乐桥里 -建昌道,2室1厅 | 65.66平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,2室1厅 , 65.66平米 , 北 南 , 其他 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 14天以前发布,78.5,"11,956元/平"
鸿坤原乡郡小区，好楼层，位置好，老证,鸿坤原乡郡 -黄庄,3室1厅 | 91.12平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,3室1厅 , 91.12平米 , 南 , 毛坯 , 中楼层(共23层)  ,不详, 板楼,0人关注 / 2天以前发布,108,"11,853元/平"
南北通透 双地铁 配套齐全 非顶楼,静墅里 -上杭路,2室1厅 | 58.45平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2室1厅 , 58.45平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,5人关注 / 5个月以前发布,116,"19,847元/平"
滨 海 新 区    米 兰 世 纪 别 墅,米兰世纪花园 -向阳街,6室2厅 | 174.78平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,6室2厅 , 174.78平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,3人关注 / 19天以前发布,195,"11,157元/平"
保利两室低楼层，毛坯房，可按自己需求装修。有钥匙,溪水河畔花园 -月牙河,2室1厅 | 91.75平米 | 南 | 毛坯 | 32层  | 板塔结合,2室1厅 , 91.75平米 , 南 , 毛坯 , 32层  ,不详, 板塔结合,5人关注 / 1个月以前发布,150,"16,349元/平"
兰江电梯一居室 采光好 户型好 满两年,兰江新苑 -东海街,1室1厅 | 56.21平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,1室1厅 , 56.21平米 , 东南 , 精装 , 高楼层(共26层)  ,不详, 塔楼,2人关注 / 8天以前发布,143,"25,441元/平"
高品质小区，城南好位置，环境优美，南侧窝头河,北岸印象 -怡购,3室2厅 | 126.29平米 | 东南 | 精装 | 低楼层(共11层)  | 板塔结合,3室2厅 , 126.29平米 , 东南 , 精装 , 低楼层(共11层)  ,不详, 板塔结合,0人关注 / 10天以前发布,168,"13,303元/平"
碧春园 1室1厅 南,碧春园 -双环邨,1室1厅 | 51.52平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,1室1厅 , 51.52平米 , 南 , 其他 , 中楼层(共32层)  ,不详, 塔楼,2人关注 / 7天以前发布,61,"11,841元/平"
金隅悦城6期一楼带小院 精装修 诚意出售,金隅悦城茗香苑 -万新街,2室1厅 | 74.08平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,2室1厅 , 74.08平米 , 南 北 , 精装 , 低楼层(共14层)  ,不详, 板楼,1人关注 / 15天以前发布,157,"21,194元/平"
兴业家园 1室1厅 南,兴业家园 -万兴街,1室1厅 | 53.07平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1室1厅 , 53.07平米 , 南 , 精装 , 中楼层(共26层)  ,不详, 板楼,0人关注 / 6天以前发布,148,"27,888元/平"
大区推荐：私产满五唯一，税费少,祥和里 -越秀路,2室1厅 | 61.76平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2室1厅 , 61.76平米 , 南 北 , 简装 , 低楼层(共7层)  ,不详, 板楼,2人关注 / 6天以前发布,250.1,"40,496元/平"
店长推挤  中间楼层  前后无遮挡  南北通透  私产满五,龙佳公寓 -越秀路,2室2厅 | 110.54平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2室2厅 , 110.54平米 , 南 北 , 其他 , 中楼层(共7层)  ,不详, 板楼,0人关注 / 6天以前发布,368,"33,292元/平"
